Manager,Club,Start_Date,End_Date,Left,Reason,PPG,Matches
Wilfired Nancy,Celtic,04/12/2025,05/01/2026,1,Sacked,0.75,8
Brendan Rodgers,Celtic,01/07/2023,27/10/2025,1,Resigned,2.19,123
Ange Postecoglu,Celtic,01/06/2021,30/06/2023,1,Resigned,2.31,113
Neil Lennon ,Celtic,26/02/2019,24/02/2021,1,Resigned,2.3,108
Brendan Rodgers,Celtic,20/05/2016,26/02/2019,1,Resigned,2.24,169
Ronny Deila,Celtic,06/06/2014,16/05/2016,1,Mutual Consent,2.12,118
Neil Lennon ,Celtic,25/03/2010,21/05/2014,1,Resigned,2.23,227
Tony Mowbray,Celtic,01/07/2009,25/03/2010,1,Sacked,1.73,45
Gordon Strachan,Celtic,01/06/2005,25/05/2009,1,Resigned,2.12,198
Martin O'Neill,Celtic,01/07/2000,30/05/2005,1,Resigned,2.36,270
Kenny Dalgleish,Celtic,31/01/2000,30/05/2000,1,Resigned,1.79,19
Danny Rohl,Rangers,20/10/2025,,0,Still In Charge,1.89,37
Russel Martin,Rangers,05/06/2025,05/10/2025,1,Sacked,1.24,17
Philippe Clement,Rangers,15/10/2023,23/02/2025,1,Sacked,2.09,86
Michael Beale,Rangers,28/11/2022,01/10/2023,1,Sacked,2.26,43
Giovanni van Bronckhorst,Rangers,18/11/2021,21/11/2022,1,Sacked,2.01,68
Steven Gerrard,Rangers,01/07/2018,10/11/2021,1,Resigned,2.15,192
Pedro Caixinha,Rangers,11/03/2017,26/10/2017,1,Sacked,1.81,26
Mark Warburton,Rangers,15/06/2015,10/02/2017,1,Resigned,2.18,82
Ally McCoist,Rangers,01/06/2011,21/12/2014,1,Resigned,2.3,167
Walter Smith,Rangers,10/01/2007,31/05/2011,1,Retired,2.13,245
Paul le Guen,Rangers,01/07/2006,03/01/2007,1,Mutual Consent,1.77,30
Alex McLeish,Rangers,13/12/2001,08/05/2006,1,Resigned,2.15,228
Derek McInnes,Hearts,19/05/2025,,0,Still In Charge,2.15,41
Neil Critchley,Hearts,15/10/2024,26/04/2025,1,Sacked,1.46,35
Steven Naismith,Hearts,06/09/2023,22/09/2024,1,Sacked,1.57,49
Robbie Neilson,Hearts,22/06/2020,09/04/2023,1,Sacked,1.7,126
Daniel Stendel,Hearts,07/12/2019,20/06/2020,1,Resigned,1.18,17
Craig Levein,Hearts,28/08/2017,31/10/2019,1,Sacked,1.47,104
Ian Cathro,Hearts,05/12/2016,01/08/2017,1,Sacked,1,30
Robbie Neilson,Hearts,13/05/2014,02/12/2016,1,Resigned,1.96,106
Gary Locke,Hearts,28/02/2013,12/05/2014,1,Sacked,1.15,51
John McGlynn,Hearts,26/06/2012,28/02/2013,1,Mutual Consent,1.18,34
Paulo Sergio,Hearts,02/08/2011,07/06/2012,1,Resigned,1.53,47
Jim Jefferies,Hearts,29/01/2010,01/08/2011,1,Sacked,1.47,60
Csaba Laszlo,Hearts,11/07/2008,29/01/2010,1,Sacked,1.46,68
Anatoly Korobochka,Hearts,02/03/2007,31/12/2007,1,Sacked,1.36,33
Valdas Ivanauskas,Hearts,27/11/2006,20/03/2007,1,Resigned,1.79,14
Valdas Ivanauskas,Hearts,23/03/2006,22/10/2006,1,Resigned,1.77,28
Graham Rix,Hearts,08/11/2005,22/03/2006,1,Sacked,1.74,19
George Burley,Hearts,01/07/2005,21/10/2005,1,Mutual Consent,2.42,12
John Robertson,Hearts,03/11/2004,09/05/2005,1,Resigned,1.37,35
Craig Levein,Hearts,01/12/2000,29/10/2004,1,Resigned,1.53,169
